energy_production,nbr_on,reserve_up,reserve down
6347.0,12.0,1218.0,1505.0
6262.0,12.0,1399.0,1728.0
6169.000000000001,12.0,1060.0,1310.0
6058.000000000001,12.0,970.0000000000001,1198.0
5959.999999999999,12.0,1195.0,1476.0
5983.0,12.0,834.0,1030.0
6023.0,12.0,992.0,1226.0
5995.0,12.0,1285.0,1588.0
5908.0,12.0,1601.0,1978.0
6002.0,12.0,2187.0,2702.0
5977.0,12.0,2052.0,2535.0
6078.000000000003,12.0,2177.9999999999986,2778.0000000000023
5789.000000000002,12.0,2467.0,2489.0000000000023
5631.000000000002,12.0,2625.0,2331.000000000002
5016.000000000001,12.0,3240.0,1716.0000000000002
5519.000000000001,12.0,2737.0,2219.0000000000014
6080.000000000001,12.0,2176.0,2780.000000000001
6445.999999999998,12.0,1799.9999999999998,2451.0
6310.000000000001,12.0,1936.0000000000005,2619.0
6362.999999999999,12.0,1893.000000000003,2424.0
6389.000000000001,12.0,1867.0000000000011,2340.0
6492.0,12.0,1579.0,1951.0
6598.000000000001,12.0,1554.9999999999998,1921.0
6307.0,12.0,1601.0,1978.0
6470.0,12.0,812.0,1003.0
6388.0,12.0,721.0,891.0
6285.0,12.0,654.0,808.0
6161.999999999999,12.0,563.0,696.0
6048.0,12.0,519.0,641.0
6023.0,12.0,497.0,614.0
5988.0,12.0,541.0,668.0
5911.0,12.0,563.0,696.0
5833.0,12.0,857.0,1059.0
5819.999999999999,12.0,992.0,1226.0
5868.999999999999,12.0,1060.0,1310.0
5981.0,12.0,1218.0,1505.0
6147.000000000001,12.0,1464.9999999999998,1810.0
6290.0,12.0,1714.0,2118.0
6338.2485459326645,12.0,1916.0,2367.0
6426.0,12.0,1782.0,2202.0
6449.000000000001,12.0,1353.0,1672.0
6359.0,12.0,992.0,1226.0
6237.0,12.0,924.0,1142.0
6107.000000000001,12.0,1128.0,1394.0
6026.0,12.0,948.0,1171.0
6055.0,12.0,1014.0,1253.0
6190.0,12.0,948.0,1171.0
5947.000000000001,12.0,767.0,948.0
6239.0,12.0,948.0,1171.0
